0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:55:00 +0900] "GET /Tiramisu/loginAndSignup.html? HTTP/1.1" 200 8541
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:55:00 +0900] "GET /Tiramisu/loginSignup/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:55:00 +0900] "GET /Tiramisu/loginSignup/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 26711
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:55:00 +0900] "GET /Tiramisu/loginSignup/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:55:00 +0900] "GET /Tiramisu/loginSignup/css/form-elements.css HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:55:00 +0900] "GET /Tiramisu/loginSignup/css/style.css HTTP/1.1" 200 4375
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:55:00 +0900] "GET /Tiramisu/loginSignup/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:55:00 +0900] "GET /Tiramisu/loginSignup/js/scripts.js HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:55:00 +0900] "GET /Tiramisu/loginSignup/js/jquery.backstretch.min.js HTTP/1.1" 200 4233
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:55:01 +0900] "GET /Tiramisu/loginSignup/img/backgrounds/brown.png HTTP/1.1" 200 2315538
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:55:01 +0900] "GET /Tiramisu/assets/img/backgrounds/1.jpg HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:55:01 +0900] "GET /Tiramisu/loginSignup/font-awesome/fonts/fontawesome-webfont.woff2?v=4.4.0 HTTP/1.1" 200 64464
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:55:01 +0900] "GET /Tiramisu/loginSignup/ico/favicon.png HTTP/1.1" 200 641
